"Table de mortalité par génération pour la Suisse (1876-2030) selon l'année de naissance, le sexe et l'âge"

"Année de naissance","Sexe","Age","Durée qui reste à vivre à l'âge x (ex)"
"1876","Homme","0 ans",43.55
"1876","Femme","0 ans",47.43
"1877","Homme","0 ans",44.77
"1877","Femme","0 ans",48.53
"1878","Homme","0 ans",44.70
"1878","Femme","0 ans",48.67
"1879","Homme","0 ans",44.78
"1879","Femme","0 ans",49.09
"1880","Homme","0 ans",45.92
"1880","Femme","0 ans",49.87
"1881","Homme","0 ans",46.98
"1881","Femme","0 ans",51.17
"1882","Homme","0 ans",48.04
"1882","Femme","0 ans",51.93
"1883","Homme","0 ans",48.51
"1883","Femme","0 ans",52.17
"1884","Homme","0 ans",48.26
"1884","Femme","0 ans",52.40
"1885","Homme","0 ans",48.38
"1885","Femme","0 ans",52.38
"1886","Homme","0 ans",48.83
"1886","Femme","0 ans",53.42
"1887","Homme","0 ans",48.60
"1887","Femme","0 ans",53.23
"1888","Homme","0 ans",49.41
"1888","Femme","0 ans",53.97
"1889","Homme","0 ans",49.83
"1889","Femme","0 ans",54.41
"1890","Homme","0 ans",49.49
"1890","Femme","0 ans",54.83
"1891","Homme","0 ans",50.77
"1891","Femme","0 ans",55.93
"1892","Homme","0 ans",51.10
"1892","Femme","0 ans",56.29
"1893","Homme","0 ans",51.32
"1893","Femme","0 ans",56.39
"1894","Homme","0 ans",51.82
"1894","Femme","0 ans",57.12
"1895","Homme","0 ans",51.92
"1895","Femme","0 ans",57.52
"1896","Homme","0 ans",52.92
"1896","Femme","0 ans",58.72
"1897","Homme","0 ans",52.98
"1897","Femme","0 ans",58.54
"1898","Homme","0 ans",52.41
"1898","Femme","0 ans",58.47
"1899","Homme","0 ans",53.24
"1899","Femme","0 ans",59.21
"1900","Homme","0 ans",53.39
"1900","Femme","0 ans",59.68
"1901","Homme","0 ans",54.99
"1901","Femme","0 ans",61.10
"1902","Homme","0 ans",55.08
"1902","Femme","0 ans",61.17
"1903","Homme","0 ans",55.50
"1903","Femme","0 ans",61.30
"1904","Homme","0 ans",55.63
"1904","Femme","0 ans",61.94
"1905","Homme","0 ans",56.45
"1905","Femme","0 ans",63.13
"1906","Homme","0 ans",57.07
"1906","Femme","0 ans",63.53
"1907","Homme","0 ans",57.82
"1907","Femme","0 ans",64.76
"1908","Homme","0 ans",58.30
"1908","Femme","0 ans",65.56
"1909","Homme","0 ans",58.63
"1909","Femme","0 ans",65.20
"1910","Homme","0 ans",59.24
"1910","Femme","0 ans",66.42
"1911","Homme","0 ans",59.12
"1911","Femme","0 ans",66.32
"1912","Homme","0 ans",60.71
"1912","Femme","0 ans",67.78
"1913","Homme","0 ans",61.28
"1913","Femme","0 ans",68.46
"1914","Homme","0 ans",61.87
"1914","Femme","0 ans",69.20
"1915","Homme","0 ans",62.25
"1915","Femme","0 ans",69.67
"1916","Homme","0 ans",62.91
"1916","Femme","0 ans",70.62
"1917","Homme","0 ans",63.08
"1917","Femme","0 ans",70.48
"1918","Homme","0 ans",62.85
"1918","Femme","0 ans",70.60
"1919","Homme","0 ans",63.40
"1919","Femme","0 ans",71.12
"1920","Homme","0 ans",64.49
"1920","Femme","0 ans",72.37
"1921","Homme","0 ans",65.51
"1921","Femme","0 ans",73.39
"1922","Homme","0 ans",66.15
"1922","Femme","0 ans",73.65
"1923","Homme","0 ans",66.82
"1923","Femme","0 ans",74.68
"1924","Homme","0 ans",67.15
"1924","Femme","0 ans",74.92
"1925","Homme","0 ans",67.93
"1925","Femme","0 ans",75.33
"1926","Homme","0 ans",67.93
"1926","Femme","0 ans",75.71
"1927","Homme","0 ans",68.71
"1927","Femme","0 ans",76.15
"1928","Homme","0 ans",69.06
"1928","Femme","0 ans",76.73
"1929","Homme","0 ans",69.68
"1929","Femme","0 ans",77.23
"1930","Homme","0 ans",69.99
"1930","Femme","0 ans",77.59
"1931","Homme","0 ans",70.80
"1931","Femme","0 ans",77.97
"1932","Homme","0 ans",71.04
"1932","Femme","0 ans",78.12
"1933","Homme","0 ans",71.40
"1933","Femme","0 ans",78.60
"1934","Homme","0 ans",71.51
"1934","Femme","0 ans",78.79
"1935","Homme","0 ans",71.93
"1935","Femme","0 ans",79.40
"1936","Homme","0 ans",72.31
"1936","Femme","0 ans",79.16
"1937","Homme","0 ans",73.00
"1937","Femme","0 ans",79.72
"1938","Homme","0 ans",73.21
"1938","Femme","0 ans",79.88
"1939","Homme","0 ans",73.21
"1939","Femme","0 ans",80.08
"1940","Homme","0 ans",73.93
"1940","Femme","0 ans",80.47
"1941","Homme","0 ans",74.35
"1941","Femme","0 ans",80.88
"1942","Homme","0 ans",74.75
"1942","Femme","0 ans",80.98
"1943","Homme","0 ans",74.72
"1943","Femme","0 ans",81.19
"1944","Homme","0 ans",74.83
"1944","Femme","0 ans",81.33
"1945","Homme","0 ans",75.56
"1945","Femme","0 ans",81.63
"1946","Homme","0 ans",75.60
"1946","Femme","0 ans",81.94
"1947","Homme","0 ans",75.96
"1947","Femme","0 ans",82.27
"1948","Homme","0 ans",76.24
"1948","Femme","0 ans",82.60
"1949","Homme","0 ans",76.59
"1949","Femme","0 ans",82.99
"1950","Homme","0 ans",77.15
"1950","Femme","0 ans",83.35
"1951","Homme","0 ans",77.40
"1951","Femme","0 ans",83.65
"1952","Homme","0 ans",77.85
"1952","Femme","0 ans",83.88
"1953","Homme","0 ans",77.81
"1953","Femme","0 ans",84.01
"1954","Homme","0 ans",78.23
"1954","Femme","0 ans",84.28
"1955","Homme","0 ans",78.50
"1955","Femme","0 ans",84.51
"1956","Homme","0 ans",78.77
"1956","Femme","0 ans",84.72
"1957","Homme","0 ans",79.23
"1957","Femme","0 ans",85.06
"1958","Homme","0 ans",79.37
"1958","Femme","0 ans",85.28
"1959","Homme","0 ans",79.51
"1959","Femme","0 ans",85.55
"1960","Homme","0 ans",79.92
"1960","Femme","0 ans",85.74
"1961","Homme","0 ans",80.20
"1961","Femme","0 ans",85.91
"1962","Homme","0 ans",80.41
"1962","Femme","0 ans",85.96
"1963","Homme","0 ans",80.75
"1963","Femme","0 ans",86.26
"1964","Homme","0 ans",81.19
"1964","Femme","0 ans",86.55
"1965","Homme","0 ans",81.52
"1965","Femme","0 ans",86.77
"1966","Homme","0 ans",81.78
"1966","Femme","0 ans",86.98
"1967","Homme","0 ans",81.93
"1967","Femme","0 ans",87.28
"1968","Homme","0 ans",82.34
"1968","Femme","0 ans",87.42
"1969","Homme","0 ans",82.62
"1969","Femme","0 ans",87.64
"1970","Homme","0 ans",82.97
"1970","Femme","0 ans",87.92
"1971","Homme","0 ans",83.17
"1971","Femme","0 ans",88.14
"1972","Homme","0 ans",83.60
"1972","Femme","0 ans",88.32
"1973","Homme","0 ans",83.82
"1973","Femme","0 ans",88.54
"1974","Homme","0 ans",84.25
"1974","Femme","0 ans",88.74
"1975","Homme","0 ans",84.57
"1975","Femme","0 ans",89.03
"1976","Homme","0 ans",84.90
"1976","Femme","0 ans",89.09
"1977","Homme","0 ans",85.25
"1977","Femme","0 ans",89.32
"1978","Homme","0 ans",85.40
"1978","Femme","0 ans",89.59
"1979","Homme","0 ans",85.64
"1979","Femme","0 ans",89.78
"1980","Homme","0 ans",85.79
"1980","Femme","0 ans",89.79
"1981","Homme","0 ans",86.11
"1981","Femme","0 ans",90.07
"1982","Homme","0 ans",86.29
"1982","Femme","0 ans",90.02
"1983","Homme","0 ans",86.43
"1983","Femme","0 ans",90.20
"1984","Homme","0 ans",86.72
"1984","Femme","0 ans",90.44
"1985","Homme","0 ans",86.92
"1985","Femme","0 ans",90.56
"1986","Homme","0 ans",87.18
"1986","Femme","0 ans",90.68
"1987","Homme","0 ans",87.16
"1987","Femme","0 ans",90.78
"1988","Homme","0 ans",87.36
"1988","Femme","0 ans",90.90
"1989","Homme","0 ans",87.57
"1989","Femme","0 ans",90.95
"1990","Homme","0 ans",87.74
"1990","Femme","0 ans",91.08
"1991","Homme","0 ans",87.90
"1991","Femme","0 ans",91.29
"1992","Homme","0 ans",88.02
"1992","Femme","0 ans",91.40
"1993","Homme","0 ans",88.26
"1993","Femme","0 ans",91.54
"1994","Homme","0 ans",88.49
"1994","Femme","0 ans",91.68
"1995","Homme","0 ans",88.61
"1995","Femme","0 ans",91.81
"1996","Homme","0 ans",88.72
"1996","Femme","0 ans",91.97
"1997","Homme","0 ans",88.93
"1997","Femme","0 ans",91.94
"1998","Homme","0 ans",88.95
"1998","Femme","0 ans",92.10
"1999","Homme","0 ans",89.11
"1999","Femme","0 ans",92.22
"2000","Homme","0 ans",89.21
"2000","Femme","0 ans",92.29
"2001","Homme","0 ans",89.35
"2001","Femme","0 ans",92.36
"2002","Homme","0 ans",89.51
"2002","Femme","0 ans",92.44
"2003","Homme","0 ans",89.61
"2003","Femme","0 ans",92.52
"2004","Homme","0 ans",89.77
"2004","Femme","0 ans",92.69
"2005","Homme","0 ans",89.81
"2005","Femme","0 ans",92.76
"2006","Homme","0 ans",89.98
"2006","Femme","0 ans",92.80
"2007","Homme","0 ans",90.13
"2007","Femme","0 ans",92.94
"2008","Homme","0 ans",90.22
"2008","Femme","0 ans",92.98
"2009","Homme","0 ans",90.24
"2009","Femme","0 ans",93.06
"2010","Homme","0 ans",90.45
"2010","Femme","0 ans",93.17
"2011","Homme","0 ans",90.51
"2011","Femme","0 ans",93.26
"2012","Homme","0 ans",90.64
"2012","Femme","0 ans",93.33
"2013","Homme","0 ans",90.65
"2013","Femme","0 ans",93.40
"2014","Homme","0 ans",90.75
"2014","Femme","0 ans",93.51
"2015","Homme","0 ans",90.87
"2015","Femme","0 ans",93.56
"2016","Homme","0 ans",91.03
"2016","Femme","0 ans",93.60
"2017","Homme","0 ans",91.15
"2017","Femme","0 ans",93.73
"2018","Homme","0 ans",91.23
"2018","Femme","0 ans",93.80
"2019","Homme","0 ans",91.32
"2019","Femme","0 ans",93.88
"2020","Homme","0 ans",91.40
"2020","Femme","0 ans",93.95
"2021","Homme","0 ans",91.49
"2021","Femme","0 ans",94.02
"2022","Homme","0 ans",91.57
"2022","Femme","0 ans",94.09
"2023","Homme","0 ans",91.66
"2023","Femme","0 ans",94.16
"2024","Homme","0 ans",91.74
"2024","Femme","0 ans",94.23
"2025","Homme","0 ans",91.82
"2025","Femme","0 ans",94.30
"2026","Homme","0 ans",91.90
"2026","Femme","0 ans",94.37
"2027","Homme","0 ans",91.99
"2027","Femme","0 ans",94.44
"2028","Homme","0 ans",92.07
"2028","Femme","0 ans",94.50
"2029","Homme","0 ans",92.15
"2029","Femme","0 ans",94.57
"2030","Homme","0 ans",92.23
"2030","Femme","0 ans",94.64
