"Table de mortalité transversale pour la Suisse (1876-2150) selon l'année, le sexe et l'âge"

"Année","Sexe","Age","Espérance de vie à l'âge x (ex)"
"1876","Homme","0 ans",38.94
"1876","Femme","0 ans",42.26
"1877","Homme","0 ans",38.93
"1877","Femme","0 ans",41.85
"1878","Homme","0 ans",39.60
"1878","Femme","0 ans",42.23
"1879","Homme","0 ans",40.75
"1879","Femme","0 ans",43.76
"1880","Homme","0 ans",41.17
"1880","Femme","0 ans",44.14
"1881","Homme","0 ans",40.66
"1881","Femme","0 ans",43.23
"1882","Homme","0 ans",41.63
"1882","Femme","0 ans",44.36
"1883","Homme","0 ans",43.99
"1883","Femme","0 ans",46.04
"1884","Homme","0 ans",43.86
"1884","Femme","0 ans",46.36
"1885","Homme","0 ans",42.59
"1885","Femme","0 ans",45.07
"1886","Homme","0 ans",43.56
"1886","Femme","0 ans",45.90
"1887","Homme","0 ans",44.24
"1887","Femme","0 ans",46.79
"1888","Homme","0 ans",44.71
"1888","Femme","0 ans",47.36
"1889","Homme","0 ans",44.03
"1889","Femme","0 ans",46.23
"1890","Homme","0 ans",43.54
"1890","Femme","0 ans",46.27
"1891","Homme","0 ans",43.41
"1891","Femme","0 ans",46.21
"1892","Homme","0 ans",45.85
"1892","Femme","0 ans",48.64
"1893","Homme","0 ans",44.85
"1893","Femme","0 ans",47.36
"1894","Homme","0 ans",44.54
"1894","Femme","0 ans",46.97
"1895","Homme","0 ans",45.43
"1895","Femme","0 ans",48.32
"1896","Homme","0 ans",47.46
"1896","Femme","0 ans",50.52
"1897","Homme","0 ans",47.73
"1897","Femme","0 ans",50.54
"1898","Homme","0 ans",46.62
"1898","Femme","0 ans",49.86
"1899","Homme","0 ans",47.69
"1899","Femme","0 ans",51.14
"1900","Homme","0 ans",46.18
"1900","Femme","0 ans",48.87
"1901","Homme","0 ans",47.40
"1901","Femme","0 ans",50.66
"1902","Homme","0 ans",49.14
"1902","Femme","0 ans",51.77
"1903","Homme","0 ans",48.77
"1903","Femme","0 ans",51.27
"1904","Homme","0 ans",47.96
"1904","Femme","0 ans",50.41
"1905","Homme","0 ans",48.25
"1905","Femme","0 ans",51.12
"1906","Homme","0 ans",49.31
"1906","Femme","0 ans",52.21
"1907","Homme","0 ans",49.62
"1907","Femme","0 ans",52.69
"1908","Homme","0 ans",50.74
"1908","Femme","0 ans",53.92
"1909","Homme","0 ans",50.13
"1909","Femme","0 ans",53.12
"1910","Homme","0 ans",51.30
"1910","Femme","0 ans",54.66
"1911","Homme","0 ans",50.06
"1911","Femme","0 ans",53.33
"1912","Homme","0 ans",52.82
"1912","Femme","0 ans",56.15
"1913","Homme","0 ans",52.46
"1913","Femme","0 ans",55.92
"1914","Homme","0 ans",53.46
"1914","Femme","0 ans",56.74
"1915","Homme","0 ans",54.15
"1915","Femme","0 ans",57.37
"1916","Homme","0 ans",55.00
"1916","Femme","0 ans",58.09
"1917","Homme","0 ans",54.08
"1917","Femme","0 ans",57.39
"1918","Homme","0 ans",43.83
"1918","Femme","0 ans",48.99
"1919","Homme","0 ans",53.85
"1919","Femme","0 ans",56.01
"1920","Homme","0 ans",53.17
"1920","Femme","0 ans",55.73
"1921","Homme","0 ans",56.12
"1921","Femme","0 ans",59.49
"1922","Homme","0 ans",57.18
"1922","Femme","0 ans",59.59
"1923","Homme","0 ans",58.23
"1923","Femme","0 ans",61.75
"1924","Homme","0 ans",57.85
"1924","Femme","0 ans",61.00
"1925","Homme","0 ans",58.40
"1925","Femme","0 ans",61.39
"1926","Homme","0 ans",59.01
"1926","Femme","0 ans",62.14
"1927","Homme","0 ans",58.50
"1927","Femme","0 ans",61.51
"1928","Homme","0 ans",58.65
"1928","Femme","0 ans",62.20
"1929","Homme","0 ans",58.20
"1929","Femme","0 ans",62.04
"1930","Homme","0 ans",59.34
"1930","Femme","0 ans",63.51
"1931","Homme","0 ans",59.35
"1931","Femme","0 ans",62.98
"1932","Homme","0 ans",59.33
"1932","Femme","0 ans",63.00
"1933","Homme","0 ans",60.45
"1933","Femme","0 ans",64.20
"1934","Homme","0 ans",60.77
"1934","Femme","0 ans",64.89
"1935","Homme","0 ans",60.20
"1935","Femme","0 ans",63.92
"1936","Homme","0 ans",60.97
"1936","Femme","0 ans",65.25
"1937","Homme","0 ans",61.46
"1937","Femme","0 ans",65.38
"1938","Homme","0 ans",61.97
"1938","Femme","0 ans",65.63
"1939","Homme","0 ans",61.84
"1939","Femme","0 ans",66.04
"1940","Homme","0 ans",61.33
"1940","Femme","0 ans",65.67
"1941","Homme","0 ans",62.93
"1941","Femme","0 ans",67.12
"1942","Homme","0 ans",63.51
"1942","Femme","0 ans",67.82
"1943","Homme","0 ans",63.59
"1943","Femme","0 ans",68.03
"1944","Homme","0 ans",62.62
"1944","Femme","0 ans",67.03
"1945","Homme","0 ans",63.33
"1945","Femme","0 ans",67.37
"1946","Homme","0 ans",64.22
"1946","Femme","0 ans",67.76
"1947","Homme","0 ans",64.04
"1947","Femme","0 ans",68.30
"1948","Homme","0 ans",65.13
"1948","Femme","0 ans",69.41
"1949","Homme","0 ans",65.74
"1949","Femme","0 ans",69.98
"1950","Homme","0 ans",66.65
"1950","Femme","0 ans",71.08
"1951","Homme","0 ans",66.29
"1951","Femme","0 ans",70.92
"1952","Homme","0 ans",67.24
"1952","Femme","0 ans",71.84
"1953","Homme","0 ans",67.01
"1953","Femme","0 ans",71.86
"1954","Homme","0 ans",67.56
"1954","Femme","0 ans",72.28
"1955","Homme","0 ans",67.68
"1955","Femme","0 ans",72.31
"1956","Homme","0 ans",67.65
"1956","Femme","0 ans",72.61
"1957","Homme","0 ans",67.84
"1957","Femme","0 ans",73.17
"1958","Homme","0 ans",68.53
"1958","Femme","0 ans",73.90
"1959","Homme","0 ans",68.70
"1959","Femme","0 ans",74.08
"1960","Homme","0 ans",68.64
"1960","Femme","0 ans",74.10
"1961","Homme","0 ans",68.86
"1961","Femme","0 ans",74.59
"1962","Homme","0 ans",68.47
"1962","Femme","0 ans",74.10
"1963","Homme","0 ans",68.33
"1963","Femme","0 ans",74.25
"1964","Homme","0 ans",69.21
"1964","Femme","0 ans",75.11
"1965","Homme","0 ans",69.46
"1965","Femme","0 ans",75.05
"1966","Homme","0 ans",69.54
"1966","Femme","0 ans",75.22
"1967","Homme","0 ans",69.68
"1967","Femme","0 ans",75.69
"1968","Homme","0 ans",69.79
"1968","Femme","0 ans",75.50
"1969","Homme","0 ans",69.71
"1969","Femme","0 ans",75.63
"1970","Homme","0 ans",70.03
"1970","Femme","0 ans",76.13
"1971","Homme","0 ans",70.15
"1971","Femme","0 ans",76.23
"1972","Homme","0 ans",70.60
"1972","Femme","0 ans",76.79
"1973","Homme","0 ans",70.97
"1973","Femme","0 ans",77.02
"1974","Homme","0 ans",71.17
"1974","Femme","0 ans",77.54
"1975","Homme","0 ans",71.48
"1975","Femme","0 ans",77.98
"1976","Homme","0 ans",71.59
"1976","Femme","0 ans",78.13
"1977","Homme","0 ans",71.98
"1977","Femme","0 ans",78.67
"1978","Homme","0 ans",71.88
"1978","Femme","0 ans",78.65
"1979","Homme","0 ans",72.32
"1979","Femme","0 ans",78.79
"1980","Homme","0 ans",72.24
"1980","Femme","0 ans",78.86
"1981","Homme","0 ans",72.42
"1981","Femme","0 ans",79.13
"1982","Homme","0 ans",72.79
"1982","Femme","0 ans",79.44
"1983","Homme","0 ans",72.68
"1983","Femme","0 ans",79.54
"1984","Homme","0 ans",73.36
"1984","Femme","0 ans",80.03
"1985","Homme","0 ans",73.49
"1985","Femme","0 ans",80.15
"1986","Homme","0 ans",73.68
"1986","Femme","0 ans",80.30
"1987","Homme","0 ans",73.92
"1987","Femme","0 ans",80.67
"1988","Homme","0 ans",73.92
"1988","Femme","0 ans",80.74
"1989","Homme","0 ans",74.10
"1989","Femme","0 ans",80.94
"1990","Homme","0 ans",73.97
"1990","Femme","0 ans",80.72
"1991","Homme","0 ans",74.14
"1991","Femme","0 ans",81.11
"1992","Homme","0 ans",74.48
"1992","Femme","0 ans",81.37
"1993","Homme","0 ans",74.93
"1993","Femme","0 ans",81.46
"1994","Homme","0 ans",75.19
"1994","Femme","0 ans",81.75
"1995","Homme","0 ans",75.35
"1995","Femme","0 ans",81.73
"1996","Homme","0 ans",75.99
"1996","Femme","0 ans",82.04
"1997","Homme","0 ans",76.29
"1997","Femme","0 ans",82.06
"1998","Homme","0 ans",76.35
"1998","Femme","0 ans",82.51
"1999","Homme","0 ans",76.82
"1999","Femme","0 ans",82.53
"2000","Homme","0 ans",76.96
"2000","Femme","0 ans",82.59
"2001","Homme","0 ans",77.41
"2001","Femme","0 ans",83.00
"2002","Homme","0 ans",77.79
"2002","Femme","0 ans",83.02
"2003","Homme","0 ans",77.95
"2003","Femme","0 ans",83.05
"2004","Homme","0 ans",78.51
"2004","Femme","0 ans",83.57
"2005","Homme","0 ans",78.63
"2005","Femme","0 ans",83.74
"2006","Homme","0 ans",79.05
"2006","Femme","0 ans",83.89
"2007","Homme","0 ans",79.30
"2007","Femme","0 ans",84.02
"2008","Homme","0 ans",79.62
"2008","Femme","0 ans",84.23
"2009","Homme","0 ans",79.66
"2009","Femme","0 ans",84.23
"2010","Homme","0 ans",80.06
"2010","Femme","0 ans",84.41
"2011","Homme","0 ans",80.29
"2011","Femme","0 ans",84.70
"2012","Homme","0 ans",80.47
"2012","Femme","0 ans",84.63
"2013","Homme","0 ans",80.52
"2013","Femme","0 ans",84.76
"2014","Homme","0 ans",80.93
"2014","Femme","0 ans",85.12
"2015","Homme","0 ans",80.70
"2015","Femme","0 ans",84.88
"2016","Homme","0 ans",81.50
"2016","Femme","0 ans",85.22
"2017","Homme","0 ans",81.36
"2017","Femme","0 ans",85.36
"2018","Homme","0 ans",81.66
"2018","Femme","0 ans",85.90
"2019","Homme","0 ans",81.84
"2019","Femme","0 ans",86.04
"2020","Homme","0 ans",82.03
"2020","Femme","0 ans",86.17
"2021","Homme","0 ans",82.21
"2021","Femme","0 ans",86.31
"2022","Homme","0 ans",82.39
"2022","Femme","0 ans",86.45
"2023","Homme","0 ans",82.57
"2023","Femme","0 ans",86.58
"2024","Homme","0 ans",82.75
"2024","Femme","0 ans",86.71
"2025","Homme","0 ans",82.92
"2025","Femme","0 ans",86.84
"2026","Homme","0 ans",83.09
"2026","Femme","0 ans",86.97
"2027","Homme","0 ans",83.26
"2027","Femme","0 ans",87.10
"2028","Homme","0 ans",83.43
"2028","Femme","0 ans",87.23
"2029","Homme","0 ans",83.59
"2029","Femme","0 ans",87.35
"2030","Homme","0 ans",83.75
"2030","Femme","0 ans",87.48
"2031","Homme","0 ans",83.91
"2031","Femme","0 ans",87.60
"2032","Homme","0 ans",84.07
"2032","Femme","0 ans",87.72
"2033","Homme","0 ans",84.23
"2033","Femme","0 ans",87.84
"2034","Homme","0 ans",84.38
"2034","Femme","0 ans",87.96
"2035","Homme","0 ans",84.53
"2035","Femme","0 ans",88.08
"2036","Homme","0 ans",84.68
"2036","Femme","0 ans",88.20
"2037","Homme","0 ans",84.83
"2037","Femme","0 ans",88.31
"2038","Homme","0 ans",84.97
"2038","Femme","0 ans",88.43
"2039","Homme","0 ans",85.12
"2039","Femme","0 ans",88.54
"2040","Homme","0 ans",85.26
"2040","Femme","0 ans",88.65
"2041","Homme","0 ans",85.40
"2041","Femme","0 ans",88.77
"2042","Homme","0 ans",85.54
"2042","Femme","0 ans",88.88
"2043","Homme","0 ans",85.68
"2043","Femme","0 ans",88.99
"2044","Homme","0 ans",85.81
"2044","Femme","0 ans",89.09
"2045","Homme","0 ans",85.95
"2045","Femme","0 ans",89.20
"2046","Homme","0 ans",86.08
"2046","Femme","0 ans",89.31
"2047","Homme","0 ans",86.21
"2047","Femme","0 ans",89.41
"2048","Homme","0 ans",86.34
"2048","Femme","0 ans",89.52
"2049","Homme","0 ans",86.47
"2049","Femme","0 ans",89.62
"2050","Homme","0 ans",86.60
"2050","Femme","0 ans",89.73
"2051","Homme","0 ans",86.72
"2051","Femme","0 ans",89.83
"2052","Homme","0 ans",86.84
"2052","Femme","0 ans",89.93
"2053","Homme","0 ans",86.97
"2053","Femme","0 ans",90.03
"2054","Homme","0 ans",87.09
"2054","Femme","0 ans",90.13
"2055","Homme","0 ans",87.21
"2055","Femme","0 ans",90.23
"2056","Homme","0 ans",87.33
"2056","Femme","0 ans",90.32
"2057","Homme","0 ans",87.44
"2057","Femme","0 ans",90.42
"2058","Homme","0 ans",87.56
"2058","Femme","0 ans",90.52
"2059","Homme","0 ans",87.67
"2059","Femme","0 ans",90.61
"2060","Homme","0 ans",87.79
"2060","Femme","0 ans",90.70
"2061","Homme","0 ans",87.90
"2061","Femme","0 ans",90.80
"2062","Homme","0 ans",88.01
"2062","Femme","0 ans",90.89
"2063","Homme","0 ans",88.12
"2063","Femme","0 ans",90.98
"2064","Homme","0 ans",88.23
"2064","Femme","0 ans",91.07
"2065","Homme","0 ans",88.33
"2065","Femme","0 ans",91.16
"2066","Homme","0 ans",88.44
"2066","Femme","0 ans",91.25
"2067","Homme","0 ans",88.54
"2067","Femme","0 ans",91.34
"2068","Homme","0 ans",88.65
"2068","Femme","0 ans",91.43
"2069","Homme","0 ans",88.75
"2069","Femme","0 ans",91.51
"2070","Homme","0 ans",88.85
"2070","Femme","0 ans",91.60
"2071","Homme","0 ans",88.95
"2071","Femme","0 ans",91.68
"2072","Homme","0 ans",89.05
"2072","Femme","0 ans",91.77
"2073","Homme","0 ans",89.15
"2073","Femme","0 ans",91.85
"2074","Homme","0 ans",89.25
"2074","Femme","0 ans",91.94
"2075","Homme","0 ans",89.35
"2075","Femme","0 ans",92.02
"2076","Homme","0 ans",89.44
"2076","Femme","0 ans",92.10
"2077","Homme","0 ans",89.54
"2077","Femme","0 ans",92.18
"2078","Homme","0 ans",89.63
"2078","Femme","0 ans",92.26
"2079","Homme","0 ans",89.72
"2079","Femme","0 ans",92.34
"2080","Homme","0 ans",89.82
"2080","Femme","0 ans",92.42
"2081","Homme","0 ans",89.91
"2081","Femme","0 ans",92.50
"2082","Homme","0 ans",90.00
"2082","Femme","0 ans",92.58
"2083","Homme","0 ans",90.09
"2083","Femme","0 ans",92.65
"2084","Homme","0 ans",90.18
"2084","Femme","0 ans",92.73
"2085","Homme","0 ans",90.26
"2085","Femme","0 ans",92.80
"2086","Homme","0 ans",90.35
"2086","Femme","0 ans",92.88
"2087","Homme","0 ans",90.44
"2087","Femme","0 ans",92.95
"2088","Homme","0 ans",90.52
"2088","Femme","0 ans",93.03
"2089","Homme","0 ans",90.61
"2089","Femme","0 ans",93.10
"2090","Homme","0 ans",90.69
"2090","Femme","0 ans",93.17
"2091","Homme","0 ans",90.77
"2091","Femme","0 ans",93.24
"2092","Homme","0 ans",90.85
"2092","Femme","0 ans",93.32
"2093","Homme","0 ans",90.93
"2093","Femme","0 ans",93.39
"2094","Homme","0 ans",91.01
"2094","Femme","0 ans",93.46
"2095","Homme","0 ans",91.09
"2095","Femme","0 ans",93.52
"2096","Homme","0 ans",91.17
"2096","Femme","0 ans",93.59
"2097","Homme","0 ans",91.25
"2097","Femme","0 ans",93.66
"2098","Homme","0 ans",91.33
"2098","Femme","0 ans",93.73
"2099","Homme","0 ans",91.41
"2099","Femme","0 ans",93.80
"2100","Homme","0 ans",91.48
"2100","Femme","0 ans",93.86
"2101","Homme","0 ans",91.56
"2101","Femme","0 ans",93.93
"2102","Homme","0 ans",91.63
"2102","Femme","0 ans",93.99
"2103","Homme","0 ans",91.70
"2103","Femme","0 ans",94.05
"2104","Homme","0 ans",91.77
"2104","Femme","0 ans",94.12
"2105","Homme","0 ans",91.85
"2105","Femme","0 ans",94.18
"2106","Homme","0 ans",91.92
"2106","Femme","0 ans",94.24
"2107","Homme","0 ans",91.99
"2107","Femme","0 ans",94.30
"2108","Homme","0 ans",92.05
"2108","Femme","0 ans",94.36
"2109","Homme","0 ans",92.12
"2109","Femme","0 ans",94.42
"2110","Homme","0 ans",92.19
"2110","Femme","0 ans",94.48
"2111","Homme","0 ans",92.26
"2111","Femme","0 ans",94.54
"2112","Homme","0 ans",92.33
"2112","Femme","0 ans",94.60
"2113","Homme","0 ans",92.39
"2113","Femme","0 ans",94.66
"2114","Homme","0 ans",92.46
"2114","Femme","0 ans",94.72
"2115","Homme","0 ans",92.52
"2115","Femme","0 ans",94.77
"2116","Homme","0 ans",92.59
"2116","Femme","0 ans",94.83
"2117","Homme","0 ans",92.65
"2117","Femme","0 ans",94.89
"2118","Homme","0 ans",92.71
"2118","Femme","0 ans",94.94
"2119","Homme","0 ans",92.78
"2119","Femme","0 ans",95.00
"2120","Homme","0 ans",92.84
"2120","Femme","0 ans",95.05
"2121","Homme","0 ans",92.90
"2121","Femme","0 ans",95.11
"2122","Homme","0 ans",92.96
"2122","Femme","0 ans",95.16
"2123","Homme","0 ans",93.02
"2123","Femme","0 ans",95.21
"2124","Homme","0 ans",93.08
"2124","Femme","0 ans",95.27
"2125","Homme","0 ans",93.14
"2125","Femme","0 ans",95.32
"2126","Homme","0 ans",93.20
"2126","Femme","0 ans",95.37
"2127","Homme","0 ans",93.26
"2127","Femme","0 ans",95.42
"2128","Homme","0 ans",93.32
"2128","Femme","0 ans",95.47
"2129","Homme","0 ans",93.37
"2129","Femme","0 ans",95.52
"2130","Homme","0 ans",93.43
"2130","Femme","0 ans",95.57
"2131","Homme","0 ans",93.49
"2131","Femme","0 ans",95.62
"2132","Homme","0 ans",93.54
"2132","Femme","0 ans",95.67
"2133","Homme","0 ans",93.60
"2133","Femme","0 ans",95.72
"2134","Homme","0 ans",93.65
"2134","Femme","0 ans",95.77
"2135","Homme","0 ans",93.71
"2135","Femme","0 ans",95.82
"2136","Homme","0 ans",93.76
"2136","Femme","0 ans",95.86
"2137","Homme","0 ans",93.81
"2137","Femme","0 ans",95.91
"2138","Homme","0 ans",93.87
"2138","Femme","0 ans",95.96
"2139","Homme","0 ans",93.92
"2139","Femme","0 ans",96.00
"2140","Homme","0 ans",93.97
"2140","Femme","0 ans",96.05
"2141","Homme","0 ans",94.02
"2141","Femme","0 ans",96.09
"2142","Homme","0 ans",94.07
"2142","Femme","0 ans",96.14
"2143","Homme","0 ans",94.12
"2143","Femme","0 ans",96.18
"2144","Homme","0 ans",94.17
"2144","Femme","0 ans",96.23
"2145","Homme","0 ans",94.22
"2145","Femme","0 ans",96.27
"2146","Homme","0 ans",94.27
"2146","Femme","0 ans",96.31
"2147","Homme","0 ans",94.32
"2147","Femme","0 ans",96.36
"2148","Homme","0 ans",94.37
"2148","Femme","0 ans",96.40
"2149","Homme","0 ans",94.41
"2149","Femme","0 ans",96.44
"2150","Homme","0 ans",94.46
"2150","Femme","0 ans",96.48
